시작에들어가는가상글시작에들어가는가	시작에들어가는가상글시작에들어가는가/NNP
나이키양차리	나이키양차리/NNP
나이트레이트	나이트레이트/NNG
나이트로사민	나이트로사민/NNG
나자르바예프	나자르바예프/NNP
나절로미술관	나절로미술관/NNP
나주배박물관	나주배박물관/NNP
나주순교성지	나주순교성지/NNP
나즈드라텐코	나즈드라텐코/NNP
나치오날호텔	나치오날호텔/NNP
나폴레옹법전	나폴레옹법전/NNP
나폴레옹전쟁	나폴레옹전쟁/NNP
나흐트무지크	나흐트무지크/NNG
낙동강경천대	낙동강경천대/NNP
낙산도립공원	낙산도립공원/NNP
낙산사의상대	낙산사의상대/NNP
낙산해수욕장	낙산해수욕장/NNP
낙양고등학교	낙양고등학교/NNP
낙원역사공원	낙원역사공원/NNP
난지락난지락	난지락난지락/XR
날름날름거리	날름날름거리/VV
남구미나들목	남구미나들목/NNP
남궁찬묘석상	남궁찬묘석상/NNP
남김천나들목	남김천나들목/NNP
남녀상열지사	남녀상열지사/NNG
남당진나들목	남당진나들목/NNP
남대구나들목	남대구나들목/NNP
남대문경찰서	남대문경찰서/NNP
남대문시장통	남대문시장통/NNG
남대전나들목	남대전나들목/NNP
남면공설시장	남면공설시장/NNP
남미공동시장	남미공동시장/NNP
남밀양나들목	남밀양나들목/NNP
남부골목시장	남부골목시장/NNP
남부공유시장	남부공유시장/NNP
남부순환도로	남부순환도로/NNP
남부재래시장	남부재래시장/NNP
남부종합시장	남부종합시장/NNP
남부터미널역	남부터미널역/NNP
남부화곡시장	남부화곡시장/NNP
남북고속도로	남북고속도로/NNP
남북공동성명	남북공동성명/NNP
남붕국립공원	남붕국립공원/NNP
남산서울타워	남산서울타워/NNP
남산인민학교	남산인민학교/NNP
남산중앙시장	남산중앙시장/NNP
남산케이블카	남산케이블카/NNP
남성주나들목	남성주나들목/NNP
남성초등학교	남성초등학교/NNP
남세종나들목	남세종나들목/NNP
남순천나들목	남순천나들목/NNP
남시흥나들목	남시흥나들목/NNP
남아프리카인	남아프리카인/NNG
남안동나들목	남안동나들목/NNP
남안산나들목	남안산나들목/NNP
남안성나들목	남안성나들목/NNP
남양몽돌해변	남양몽돌해변/NNP
남양산나들목	남양산나들목/NNP
남양성모성지	남양성모성지/NNP
남양주경찰서	남양주경찰서/NNP
남양주나들목	남양주나들목/NNP
남양주문화원	남양주문화원/NNP
남양진흥기업	남양진흥기업/NNP
남여주나들목	남여주나들목/NNP
남원관광단지	남원관광단지/NNP
남원교룡산성	남원교룡산성/NNP
남원만복사지	남원만복사지/NNP
남원만인의총	남원만인의총/NNP
남원추어마을	남원추어마을/NNP
남원큰엉해안	남원큰엉해안/NNP
남원흥부마을	남원흥부마을/NNP
남제천나들목	남제천나들목/NNP
남제천분기점	남제천분기점/NNP
남지정기시장	남지정기시장/NNP
남천교청연루	남천교청연루/NNP
남천안나들목	남천안나들목/NNP
남천해변시장	남천해변시장/NNP
남총련조통위	남총련조통위/NNP
남춘천나들목	남춘천나들목/NNP
남풍세나들목	남풍세나들목/NNP
남한산성행궁	남한산성행궁/NNP
남해가천마을	남해가천마을/NNP
남해고속도로	남해고속도로/NNP
남해두모마을	남해두모마을/NNP
남해문항마을	남해문항마을/NNP
남해유스호텔	남해유스호텔/NNP
남해전통시장	남해전통시장/NNP
남해종합건설	남해종합건설/NNP
남호해수욕장	남호해수욕장/NNP
낭천산림욕장	낭천산림욕장/NNP
내덕자연시장	내덕자연시장/NNP
내몽고자치구	내몽고자치구/NNP
내몽고자치주	내몽고자치주/NNP
내무부장관상	내무부장관상/NNG
내부순환도로	내부순환도로/NNP
내소사매표소	내소사매표소/NNP
내수전통시장	내수전통시장/NNP
내일전통시장	내일전통시장/NNP
내치락들치락	내치락들치락/XR
내토재래시장	내토재래시장/NNP
너부렁넓적이	너부렁넓적이/MAG
너분적너분적	너분적너분적/XR
너울쩍너울쩍	너울쩍너울쩍/XR
넌지럭넌지럭	넌지럭넌지럭/XR
넓적사슴벌레	넓적사슴벌레/NNG
네고시에이터	네고시에이터/NNG
네그엔트로피	네그엔트로피/NNG
네브래스카주	네브래스카주/NNP
네스토리우스	네스토리우스/NNP
네안데르탈인	네안데르탈인/NNG
네오리얼리즘	네오리얼리즘/NNG
네오스티그민	네오스티그민/NNG
네오휴머니즘	네오휴머니즘/NNG
네이크드니스	네이크드니스/NNG
네자비시마야	네자비시마야/NNP
네프로네피스	네프로네피스/NNG
네프롤레피스	네프롤레피스/NNG
네프스키대로	네프스키대로/NNP
넷스케이프사	넷스케이프사/NNP
넷익스체인지	넷익스체인지/NNP
노다다미술관	노다다미술관/NNP
노동위원회법	노동위원회법/NNG
노동조합운동	노동조합운동/NNG
노랑저고리벌	노랑저고리벌/NNG
노량진경찰서	노량진경찰서/NNP
노량진청년회	노량진청년회/NNP
노르덴스트렝	노르덴스트렝/NNP
노르드오스트	노르드오스트/NNP
노르아드날린	노르아드날린/NNG
노리착지근히	노리착지근히/MAG
노먼클라투라	노먼클라투라/NNP
노멘클라투라	노멘클라투라/NNP
노브드보로프	노브드보로프/NNP
노사정책실장	노사정책실장/NNG
노사협의회법	노사협의회법/NNG
노어노문학과	노어노문학과/NNG
노에피네프린	노에피네프린/NNG
노이바이공항	노이바이공항/NNP
노이폼하우스	노이폼하우스/NNP
노포동터미널	노포동터미널/NNP
녹동전통시장	녹동전통시장/NNP
녹색체험마을	녹색체험마을/NNP
논공중앙시장	논공중앙시장/NNP
논리실증주의	논리실증주의/NNG
논산노성산성	논산노성산성/NNP
논산돈암서원	논산돈암서원/NNP
논산명재고택	논산명재고택/NNP
논산원목다리	논산원목다리/NNP
논현종합시장	논현종합시장/NNP
농산물시장역	농산물시장역/NNP
농소몽돌해변	농소몽돌해변/NNP
농업협동조합	농업협동조합/NNP
농협대입구역	농협대입구역/NNP
높으락낮으락	높으락낮으락/XR
뇌샤텔출판사	뇌샤텔출판사/NNP
누르락붉으락	누르락붉으락/XR
누르락푸르락	누르락푸르락/XR
누리척지근히	누리척지근히/MAG
누와라엘리야	누와라엘리야/NNP
누운별자리꽃	누운별자리꽃/NNG
뉴로사이언스	뉴로사이언스/NNG
뉴모노울트라	뉴모노울트라/NNP
뉴소프트기술	뉴소프트기술/NNP
뉴스파노라마	뉴스파노라마/NNP
뉴암스테르담	뉴암스테르담/NNP
뉴오타니호텔	뉴오타니호텔/NNP
뉴올리안즈시	뉴올리안즈시/NNP
뉴올리언스항	뉴올리언스항/NNP
뉴욕국제공항	뉴욕국제공항/NNP
뉴욕대학병원	뉴욕대학병원/NNP
뉴욕무역센터	뉴욕무역센터/NNP
뉴욕세계빌딩	뉴욕세계빌딩/NNP
뉴욕시립대학	뉴욕시립대학/NNP
뉴욕시박물관	뉴욕시박물관/NNP
뉴욕시지하철	뉴욕시지하철/NNP
뉴욕월드빌딩	뉴욕월드빌딩/NNP
뉴욕주립대학	뉴욕주립대학/NNP
뉴욕줄리아드	뉴욕줄리아드/NNP
뉴욕타임스지	뉴욕타임스지/NNP
뉴욕한인교회	뉴욕한인교회/NNP
뉴월드골프장	뉴월드골프장/NNP
뉴이얼스데이	뉴이얼스데이/NNG
뉴코아백화점	뉴코아백화점/NNP
뉴트리라이트	뉴트리라이트/NNP
뉴트릴라이트	뉴트릴라이트/NNP
뉴펀들랜드섬	뉴펀들랜드섬/NNP
느르적느르적	느르적느르적/XR
느리적느리적	느리적느리적/MAG
느부갓네살왕	느부갓네살왕/NNP
느지럭느지럭	느지럭느지럭/XR
는지럭는지럭	는지럭는지럭/XR
능선일주코스	능선일주코스/NNP
능암온천랜드	능암온천랜드/NNP
니꼴라예프까	니꼴라예프까/NNP
니콜라예비치	니콜라예비치/NNP
니혼게이자이	니혼게이자이/NNP
다가닥다가닥	다가닥다가닥/XR
다까마쓰쓰까	다까마쓰쓰까/NNP
다닐레브스키	다닐레브스키/NNP
다다닥다다닥	다다닥다다닥/XR
다당실다당실	다당실다당실/XR
다드락다드락	다드락다드락/XR
다듬이바느질	다듬이바느질/XR
다듬잇방망이	다듬잇방망이/NNG
다듬작다듬작	다듬작다듬작/XR
다떼마사무네	다떼마사무네/NNP
다르락다르락	다르락다르락/XR
다르랑다르랑	다르랑다르랑/XR
다르륵다르륵	다르륵다르륵/XR
다르릉다르릉	다르릉다르릉/XR
다리안관광지	다리안관광지/NNP
다물자연학교	다물자연학교/NNP
다보록다보록	다보록다보록/XR
다부락다부락	다부락다부락/XR
다산논설선집	다산논설선집/NNP
다산론설선집	다산론설선집/NNP
다산문학선집	다산문학선집/NNP
다섯목가래질	다섯목가래질/XR
다우케미컬사	다우케미컬사/NNP
다우크도르즈	다우크도르즈/NNP
다우크드로즈	다우크드로즈/NNP
다운씨증후군	다운씨증후군/NNG
다이나마이트	다이나마이트/NNG
다이너마이트	다이너마이트/NNG
다이너스카드	다이너스카드/NNP
다이도와센소	다이도와센소/NNG
다이아몬드바	다이아몬드바/NNP
다이어스포라	다이어스포라/NNG
다이이치은행	다이이치은행/NNP
다이제스트물	다이제스트물/NNG
다이제스트식	다이제스트식/NNG
다이제스트지	다이제스트지/NNP
다카다노바바	다카다노바바/NNP
다큐멘터리물	다큐멘터리물/NNG
다큐멘터리식	다큐멘터리식/NNG
닥터아토피스	닥터아토피스/NNG
단경골휴양지	단경골휴양지/NNP
단대동닭죽촌	단대동닭죽촌/NNP
단대마트시장	단대마트시장/NNP
단대오거리역	단대오거리역/NNP
단양관광특구	단양관광특구/NNP
단양구경시장	단양구경시장/NNP
단양노동동굴	단양노동동굴/NNP
단양온달동굴	단양온달동굴/NNP
단양온달산성	단양온달산성/NNP
단일민족국가	단일민족국가/NNG
달가당달가당	달가당달가당/XR
달그랑달그랑	달그랑달그랑/XR
달까닥달까닥	달까닥달까닥/XR
달까당달까당	달까당달까당/XR
달네고르스끄	달네고르스끄/NNP
달동네박물관	달동네박물관/NNP
달라당달라당	달라당달라당/XR
달서송림시장	달서송림시장/NNP
달서종합시장	달서종합시장/NNP
달싸닥달싸닥	달싸닥달싸닥/XR
달싹쿵달싹쿵	달싹쿵달싹쿵/XR
달카닥달카닥	달카닥달카닥/XR
달카당달카당	달카당달카당/XR
담바당담바당	담바당담바당/XR
담배인삼공사	담배인삼공사/NNP
담양금성산성	담양금성산성/NNP
담양대나무숲	담양대나무숲/NNP
담양시목마을	담양시목마을/NNP
담작은도서관	담작은도서관/NNP
담정관광농원	담정관광농원/NNP
당감골목시장	당감골목시장/NNP
당그랑당그랑	당그랑당그랑/XR
당상고속도로	당상고속도로/NNP
당인리발전소	당인리발전소/NNP
당중앙위원회	당중앙위원회/NNG
당진면천읍성	당진면천읍성/NNP
당진상설시장	당진상설시장/NNP
당진정기시장	당진정기시장/NNP
당진합덕성당	당진합덕성당/NNP
당항포관광지	당항포관광지/NNP
당홍보기획실	당홍보기획실/NNG
대가닥대가닥	대가닥대가닥/XR
대가야박물관	대가야박물관/NNP
대건안드레아	대건안드레아/NNP
대곡리암각화	대곡리암각화/NNP
대곡사대웅전	대곡사대웅전/NNP
대관령박물관	대관령박물관/NNP
대구가톨릭대	대구가톨릭대/NNP
대구경찰청장	대구경찰청장/NNG
대구공군기지	대구공군기지/NNP
대구광역시도	대구광역시도/NNP
대구국제공항	대구국제공항/NNP
대구능금시장	대구능금시장/NNP
대구달성공원	대구달성공원/NNP
대구달성습지	대구달성습지/NNP
대구도시가스	대구도시가스/NNP
대구두류공원	대구두류공원/NNP
대구매일신문	대구매일신문/NNP
대구문화회관	대구문화회관/NNP
대구부수성비	대구부수성비/NNP
대구스타디움	대구스타디움/NNP
대구스파밸리	대구스파밸리/NNP
대구시교육청	대구시교육청/NNP
대구시민회관	대구시민회관/NNP
대구시지하철	대구시지하철/NNP
대구앞산공원	대구앞산공원/NNP
대구옻골마을	대구옻골마을/NNP
대구제일교회	대구제일교회/NNP
대구직할시장	대구직할시장/NNG
대구청과시장	대구청과시장/NNP
대구폭동사건	대구폭동사건/NNP
대그락대그락	대그락대그락/XR
대농창업투자	대농창업투자/NNP
대덕연구단지	대덕연구단지/NNP
대도평화시장	대도평화시장/NNP
대동아공영권	대동아공영권/NNG
대동중앙상가	대동중앙상가/NNP
대롱궁대롱궁	대롱궁대롱궁/XR
대룡산업개발	대룡산업개발/NNP
대룽궁대룽궁	대룽궁대룽궁/XR
대륙간탄도탄	대륙간탄도탄/NNG
대림골목시장	대림골목시장/NNP
대림종합건재	대림종합건재/NNP
대림중앙시장	대림중앙시장/NNP
대만부녀기금	대만부녀기금/NNP
대명중앙시장	대명중앙시장/NNP
대명합동시장	대명합동시장/NNP
대모산입구역	대모산입구역/NNP
대묘조성도감	대묘조성도감/NNG
대산공설시장	대산공설시장/NNP
대산문화재단	대산문화재단/NNP
대산종합시장	대산종합시장/NNP
대상클로렐라	대상클로렐라/NNG
대서전통시장	대서전통시장/NNP
대성리유원지	대성리유원지/NNP
대성종합건설	대성종합건설/NNP
대신산업개발	대신산업개발/NNP
대신지하상가	대신지하상가/NNP
대아관광농원	대아관광농원/NNP
대야미나들목	대야미나들목/NNP
대야미분기점	대야미분기점/NNP
대야전통시장	대야전통시장/NNP
대우조선해양	대우조선해양/NNP
대우종합기계	대우종합기계/NNP
대우학술재단	대우학술재단/NNP
대우학술총서	대우학술총서/NNP
대원광고기획	대원광고기획/NNP
대원종합시장	대원종합시장/NNP
대유대림상가	대유대림상가/NNP
대전가톨릭대	대전가톨릭대/NNP
대전계족산성	대전계족산성/NNP
대전광역시청	대전광역시청/NNP
대전도매시장	대전도매시장/NNP
대전문화방송	대전문화방송/NNP
대전시유성구	대전시유성구/NNP
대전시지하철	대전시지하철/NNP
대전제일교회	대전제일교회/NNP
대전조차장역	대전조차장역/NNP
대전중앙교회	대전중앙교회/NNP
대전지방법원	대전지방법원/NNP
대전해수욕장	대전해수욕장/NNP
대정오일시장	대정오일시장/NNP
대종소종지법	대종소종지법/NNG
대중민주주의	대중민주주의/NNG
대진고속도로	대진고속도로/NNP
대진해수욕장	대진해수욕장/NNP
대천해수욕장	대천해수욕장/NNP
대청호미술관	대청호미술관/NNP
대추나무가시	대추나무가시/NNP
대통령도서관	대통령도서관/NNP
대통령비서실	대통령비서실/NNP
대통령선거법	대통령선거법/NNP
대통령중심제	대통령중심제/NNG
대학교박물관	대학교박물관/NNP
대학기독신문	대학기독신문/NNP
대학생선교회	대학생선교회/NNG
대학평의원회	대학평의원회/NNP
대한건설협회	대한건설협회/NNP
대한건축학회	대한건축학회/NNP
대한골프협회	대한골프협회/NNP
대한교육보험	대한교육보험/NNP
대한국민의회	대한국민의회/NNP
대한그린투신	대한그린투신/NNP
대한매일신문	대한매일신문/NNP
대한매일신보	대한매일신보/NNP
대한배구협회	대한배구협회/NNP
대한법률협회	대한법률협회/NNP
대한변협회장	대한변협회장/NNG
대한병원협회	대한병원협회/NNP
대한보증보험	대한보증보험/NNP
대한빙상연맹	대한빙상연맹/NNP
대한사격연맹	대한사격연맹/NNP
대한석궁연맹	대한석궁연맹/NNP
대한석유공사	대한석유공사/NNP
대한석유협회	대한석유협회/NNP
대한석탄공사	대한석탄공사/NNP
대한수의사회	대한수의사회/NNP
대한야구협회	대한야구협회/NNP
대한어머니회	대한어머니회/NNP
대한여행개발	대한여행개발/NNP
대한영양사회	대한영양사회/NNP
대한요트협회	대한요트협회/NNP
대한의사협회	대한의사협회/NNP
대한의약협회	대한의약협회/NNP
대한의학협회	대한의학협회/NNP
대한인민총회	대한인민총회/NNP
대한적십자사	대한적십자사/NNP
대한족구협회	대한족구협회/NNP
대한주부클럽	대한주부클럽/NNP
대한주택공사	대한주택공사/NNP
대한지리학회	대한지리학회/NNP
대한지적공사	대한지적공사/NNP
대한축구협회	대한축구협회/NNP
대한출판협회	대한출판협회/NNP
대한콘설탄트	대한콘설탄트/NNP
대한탁구협회	대한탁구협회/NNP
대한투신운용	대한투신운용/NNP
대한투신증권	대한투신증권/NNP
대한투자신탁	대한투자신탁/NNP
대한한약협회	대한한약협회/NNP
대한한의학회	대한한의학회/NNP
대한화학기계	대한화학기계/NNP
대항마을코스	대항마을코스/NNP
대해종합시장	대해종합시장/NNP
대호아파트뒤	대호아파트뒤/NNP
대화전통시장	대화전통시장/NNP
대흥면사무소	대흥면사무소/NNP
대흥안령산맥	대흥안령산맥/NNP
댁대굴댁대굴	댁대굴댁대굴/XR
댕가당댕가당	댕가당댕가당/XR
댕그랑댕그랑	댕그랑댕그랑/XR
더거덕더거덕	더거덕더거덕/XR
더더귀더더귀	더더귀더더귀/XR
더드럭더드럭	더드럭더드럭/XR
더듬적더듬적	더듬적더듬적/XR
더리미미술관	더리미미술관/NNP
더부럭더부럭	더부럭더부럭/XR
더부룩더부룩	더부룩더부룩/XR
더불어민주당	더불어민주당/NNP
더원에코랜드	더원에코랜드/NNP
덕더글덕더글	덕더글덕더글/XR
덕동해수욕장	덕동해수욕장/NNP
덕불고필유린	덕불고필유린/NNG
덕산도립공원	덕산도립공원/NNP
덕산온천지구	덕산온천지구/NNP
덕수궁대한문	덕수궁대한문/NNP
덕수궁돌담길	덕수궁돌담길/NNP
덕수궁미술관	덕수궁미술관/NNP
덕주사마애불	덕주사마애불/NNP
덕천해수욕장	덕천해수욕장/NNP
덕포해수욕장	덕포해수욕장/NNP
덕풍전통시장	덕풍전통시장/NNP
덕흥해수욕장	덕흥해수욕장/NNP
덜거덕덜거덕	덜거덕덜거덕/XR
덜그렁덜그렁	덜그렁덜그렁/XR
덜꺼덕덜꺼덕	덜꺼덕덜꺼덕/XR
덜꺼덩덜꺼덩	덜꺼덩덜꺼덩/XR
덜러덩덜러덩	덜러덩덜러덩/XR
덜썩꿍덜썩꿍	덜썩꿍덜썩꿍/XR
덜커덩덜커덩	덜커덩덜커덩/XR
덤버덩덤버덩	덤버덩덤버덩/XR
덤불해오라비	덤불해오라비/NNG
덧뵈기놀음판	덧뵈기놀음판/NNG
덩그럭덩그럭	덩그럭덩그럭/XR
덩그렁덩그렁	덩그렁덩그렁/XR
덩드럭덩드럭	덩드럭덩드럭/XR
데거덕데거덕	데거덕데거덕/XR
데그럭데그럭	데그럭데그럭/XR
데그로프로팀	데그로프로팀/NNP
데논콜롬비아	데논콜롬비아/NNP
데룽궁데룽궁	데룽궁데룽궁/XR
데모스데네스	데모스데네스/NNP
데모스테네스	데모스테네스/NNP
데모크라시호	데모크라시호/NNP
데모크리토스	데모크리토스/NNP
데모크리투스	데모크리투스/NNP
데모클리투스	데모클리투스/NNP
데미우르고스	데미우르고스/NNP
데블레이스전	데블레이스전/NNG
데스티네이션	데스티네이션/NNG
데스퍼레이션	데스퍼레이션/NNP
데이비드생거	데이비드생거/NNP
데이빗소로우	데이빗소로우/NNP
데이아네이라	데이아네이라/NNP
데이타베이스	데이타베이스/NNG
데이터베이스	데이터베이스/NNG
데이터퀘스트	데이터퀘스트/NNP
데주브리에트	데주브리에트/NNP
덱데굴덱데굴	덱데굴덱데굴/XR
뎅가당뎅가당	뎅가당뎅가당/XR
뎅거덩뎅거덩	뎅거덩뎅거덩/XR
뎅그렁뎅그렁	뎅그렁뎅그렁/XR
도갑사성보관	도갑사성보관/NNP
도갑사해탈문	도갑사해탈문/NNP
도계전두시장	도계전두시장/NNP
도계중앙시장	도계중앙시장/NNP
도교육위원회	도교육위원회/NNG
도구해수욕장	도구해수욕장/NNP
도근닥도근닥	도근닥도근닥/XR
도깨비방망이	도깨비방망이/NNG
도도록도도록	도도록도도록/XR
도두룩도두룩	도두룩도두룩/XR
도드락도드락	도드락도드락/XR
도량종합식품	도량종합식품/NNP
도로아미타불	도로아미타불/NNG
도리반도리반	도리반도리반/XR
도리산전망대	도리산전망대/NNP
도매물가지수	도매물가지수/NNG
도미티아누스	도미티아누스/NNP
도봉산유원지	도봉산유원지/NNP
도브랑스카야	도브랑스카야/NNP
도사곡휴양림	도사곡휴양림/NNP
도산아카데미	도산아카데미/NNP
도시개발공사	도시개발공사/NNP
도시고속도로	도시고속도로/NNP
도시철도공사	도시철도공사/NNP
도야마현민회	도야마현민회/NNP
도요타자동차	도요타자동차/NNP
도이센베르흐	도이센베르흐/NNP
도이치박물관	도이치박물관/NNP
도이칠란트어	도이칠란트어/NNG
도장포유람선	도장포유람선/NNP
도정딸기마을	도정딸기마을/NNP
도쿄국제공항	도쿄국제공항/NNP
도쿄도미술관	도쿄도미술관/NNP
도쿄도지하철	도쿄도지하철/NNP
도쿄예술대학	도쿄예술대학/NNP
도쿄예술학교	도쿄예술학교/NNP
도쿄일일신문	도쿄일일신문/NNP
도쿄한국학교	도쿄한국학교/NNP
도큐먼테이션	도큐먼테이션/NNG
도토름도토름	도토름도토름/XR
도화전통시장	도화전통시장/NNP
도화헌미술관	도화헌미술관/NNP
독립기념광장	독립기념광장/NNP
독립역사공원	독립역사공원/NNP
독립프로덕션	독립프로덕션/NNG
독산해수욕장	독산해수욕장/NNP
독일민족동맹	독일민족동맹/NNP
독일연방은행	독일연방은행/NNP
독일축구연맹	독일축구연맹/NNP
독점자본주의	독점자본주의/NNG
독조중립조약	독조중립조약/NNG
돈내코탐방로	돈내코탐방로/NNP
돈암제일시장	돈암제일시장/NNP
돌담풍경마을	돌담풍경마을/NNP
동가식서가숙	동가식서가숙/XR
동강전통시장	동강전통시장/NNP
동강제장마을	동강제장마을/NNP
동경국제공항	동경국제공항/NNP
동경미술학교	동경미술학교/NNP
동경스타디움	동경스타디움/NNP
동경예술대학	동경예술대학/NNP
동국대박물관	동국대박물관/NNP
동국무역그룹	동국무역그룹/NNP
동국문헌비고	동국문헌비고/NNP
동국여지승람	동국여지승람/NNP
동국역경원장	동국역경원장/NNG
동국이상국집	동국이상국집/NNP
동국철물시장	동국철물시장/NNP
동남아시아설	동남아시아설/NNG
동남아시아인	동남아시아인/NNG
동대구나들목	동대구나들목/NNP
동대구분기점	동대구분기점/NNP
동대구신시장	동대구신시장/NNP
동대문경찰서	동대문경찰서/NNP
동대문구청장	동대문구청장/NNG
동대문도서관	동대문도서관/NNP
동대문문화원	동대문문화원/NNP
동대문야구장	동대문야구장/NNP
동대문운동장	동대문운동장/NNP
동두천기상대	동두천기상대/NNP
동두천문화원	동두천문화원/NNP
동두천중앙역	동두천중앙역/NNP
동두천터미널	동두천터미널/NNP
동력전달장치	동력전달장치/NNG
동마장터미널	동마장터미널/NNP
동막골유원지	동막골유원지/NNP
동명고속도로	동명고속도로/NNP
동문공설시장	동문공설시장/NNP
동문수산시장	동문수산시장/NNP
동문재래시장	동문재래시장/NNP
동방무례지국	동방무례지국/NNG
동방예의지국	동방예의지국/NNP
동베를린장벽	동베를린장벽/NNP
동부골목시장	동부골목시장/NNP
동부금호그룹	동부금호그룹/NNP
동부센트레빌	동부센트레빌/NNP
동부외곽도로	동부외곽도로/NNP
동부전통시장	동부전통시장/NNP
동부종합시장	동부종합시장/NNP
동부청과시장	동부청과시장/NNP
동북고등학교	동북고등학교/NNP
동북아시아인	동북아시아인/NNG
동북어머니회	동북어머니회/NNP
동북초등학교	동북초등학교/NNP
동북항일연군	동북항일연군/NNG
동산고등학교	동산고등학교/NNP
동서고가도로	동서고가도로/NNP
동서고속도로	동서고속도로/NNP
동서고속철도	동서고속철도/NNG
동서울네거리	동서울네거리/NNP
동서종합건설	동서종합건설/NNP
동선종합건설	동선종합건설/NNP
동성제국대학	동성제국대학/NNP
동수원나들목	동수원나들목/NNP
동숭스튜디오	동숭스튜디오/NNP
동숭씨네마텍	동숭씨네마텍/NNP
동숭아트센터	동숭아트센터/NNP
동신고등학교	동신고등학교/NNP
동신에스엔티	동신에스엔티/NNP
동신종합시장	동신종합시장/NNP
동아건설사장	동아건설사장/NNG
동아문화센터	동아문화센터/NNP
동아수출공사	동아수출공사/NNP
동아종합시장	동아종합시장/NNP
동아창업투자	동아창업투자/NNP
동아태위원회	동아태위원회/NNP
동아투자금융	동아투자금융/NNP
동아화성공업	동아화성공업/NNP
동양도자미술	동양도자미술/NNP
동양종금증권	동양종금증권/NNP
동양종합금융	동양종합금융/NNP
동양종합상가	동양종합상가/NNP
동양척식회사	동양척식회사/NNP
동원골목시장	동원골목시장/NNP
동원관광농원	동원관광농원/NNP
동원탄좌개발	동원탄좌개발/NNP
동원투신운용	동원투신운용/NNP
동인민위운회	동인민위운회/NNP
동일실업고교	동일실업고교/NNP
동작교육구청	동작교육구청/NNP
동저고릿바람	동저고릿바람/NNG
동전주나들목	동전주나들목/NNP
동진초등학교	동진초등학교/NNP
동창원나들목	동창원나들목/NNP
동천공설시장	동천공설시장/NNP
동춘서커스단	동춘서커스단/NNP
동편제탯자리	동편제탯자리/NNP
동포잉수노력	동포잉수노력/NNG
동프리슬란드	동프리슬란드/NNP
동함평나들목	동함평나들목/NNP
동해고속도로	동해고속도로/NNP
동해종합시장	동해종합시장/NNP
동해중앙시장	동해중앙시장/NNP
동호해수욕장	동호해수욕장/NNP
동화씨엠테크	동화씨엠테크/NNP
되거두어들이	되거두어들이/VV
되롱궁되롱궁	되롱궁되롱궁/XR
되우뚱되우뚱	되우뚱되우뚱/XR
두근덕두근덕	두근덕두근덕/XR
두근반서근반	두근반서근반/MAG
두근반세근반	두근반세근반/MAG
두꺼덕두꺼덕	두꺼덕두꺼덕/XR
두덜렁두덜렁	두덜렁두덜렁/XR
두두룩두두룩	두두룩두두룩/XR
두드럭두드럭	두드럭두드럭/XR
두레생태기행	두레생태기행/NNP
두루뫼사료관	두루뫼사료관/NNP
두루미천남성	두루미천남성/NNG
두류종합시장	두류종합시장/NNP
두바이지하철	두바이지하철/NNP
두부럭두부럭	두부럭두부럭/XR
두브로브니크	두브로브니크/NNP
두브로프니크	두브로프니크/NNP
두산아트센터	두산아트센터/NNP
두여해수욕장	두여해수욕장/NNP
두투름두투름	두투름두투름/XR
둔촌이집묘역	둔촌이집묘역/NNP
뒤덤벙뒤덤벙	뒤덤벙뒤덤벙/XR
뒤룽궁뒤룽궁	뒤룽궁뒤룽궁/XR
뒤부럭뒤부럭	뒤부럭뒤부럭/XR
뒤스럭뒤스럭	뒤스럭뒤스럭/XR
뒤우뚱뒤우뚱	뒤우뚱뒤우뚱/XR
뒤치락엎치락	뒤치락엎치락/XR
드라마투르기	드라마투르기/NNG
드라마트루기	드라마트루기/NNG
드라마티스트	드라마티스트/NNG
드라스코비치	드라스코비치/NNP
드라이아이스	드라이아이스/NNG
드라이에리어	드라이에리어/NNG
드라이클리닝	드라이클리닝/NNG
드라켄베르그	드라켄베르그/NNP
드래곤프루트	드래곤프루트/NNG
드로트닝홀름	드로트닝홀름/NNP
드르럭드르럭	드르럭드르럭/XR
드르릉드르릉	드르릉드르릉/XR
드리톤파들리	드리톤파들리/NNP
드미트리예프	드미트리예프/NNP
드부럭드부럭	드부럭드부럭/XR
드제르진스키	드제르진스키/NNP
득실득실거리	득실득실거리/VV
들까불들까불	들까불들까불/XR
들락날락거리	들락날락거리/VV
들써덕들써덕	들써덕들써덕/XR
들썩쿵들썩쿵	들썩쿵들썩쿵/XR
들추덕들추덕	들추덕들추덕/XR
들풀미술학교	들풀미술학교/NNP
등가속도운동	등가속도운동/NNG
등독창적문양	등독창적문양/NNG
등억온천단지	등억온천단지/NNP
디룽궁디룽궁	디룽궁디룽궁/XR
디베르티멘토	디베르티멘토/NNP
디벨로프먼트	디벨로프먼트/NNG
디소피라미드	디소피라미드/NNG
디스크립티브	디스크립티브/NNG
디스트리뷰터	디스트리뷰터/NNG
디스플레이어	디스플레이어/NNG
디시인사이드	디시인사이드/NNP
디아르무이드	디아르무이드/NNP
디야르바키르	디야르바키르/NNP
디에스엘시디	디에스엘시디/NNP
디오니소스제	디오니소스제/NNP
디오니시우스	디오니시우스/NNP
디자이너닷컴	디자이너닷컴/NNG
디자인박물관	디자인박물관/NNP
디자인하우스	디자인하우스/NNP
